brand,model,top_speed_kmh,battery_capacity_kWh,battery_type,number_of_cells,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type,source_url
abarth,500e convertible,155,37.8,lithium-ion,192.0,235.0,156,225,7.0,67.0,ccs,0.0,185,4,fwd,b - compact,3673,1683,1518,hatchback,https://ev-database.org/car/1904/abarth-500e-convertible
abarth,500e hatchback,155,37.8,lithium-ion,192.0,235.0,149,225,7.0,67.0,ccs,0.0,185,4,fwd,b - compact,3673,1683,1518,hatchback,https://ev-database.org/car/1903/abarth-500e-hatchback
abarth,600e scorpionissima,200,50.8,lithium-ion,102.0,345.0,158,280,5.9,79.0,ccs,0.0,360,5,fwd,jb - compact,4187,1779,1557,suv,https://ev-database.org/car/3057/abarth-600e-scorpionissima
abarth,600e turismo,200,50.8,lithium-ion,102.0,345.0,158,280,6.2,79.0,ccs,0.0,360,5,fwd,jb - compact,4187,1779,1557,suv,https://ev-database.org/car/3056/abarth-600e-turismo
alfa,romeo junior elettrica 54 kwh,150,50.8,lithium-ion,102.0,260.0,128,320,9.0,85.0,ccs,0.0,400,5,fwd,jb - compact,4173,1781,1532,suv,https://ev-database.org/car/2184/alfa-romeo-junior-elettrica-54-kwh
alfa,romeo junior elettrica 54 kwh veloce,200,50.8,lithium-ion,102.0,345.0,164,310,6.0,85.0,ccs,0.0,400,5,fwd,jb - compact,4173,1781,1505,suv,https://ev-database.org/car/2185/alfa-romeo-junior-elettrica-54-kwh-veloce
alpine,a290 electric 180 hp,160,52.0,lithium-ion,184.0,285.0,138,310,7.4,70.0,ccs,500.0,326,5,fwd,b - compact,3997,1823,1512,hatchback,https://ev-database.org/car/2268/alpine-a290-electric-180-hp
alpine,a290 electric 220 hp,170,52.0,lithium-ion,184.0,300.0,144,305,6.4,70.0,ccs,500.0,326,5,fwd,b - compact,3997,1823,1512,hatchback,https://ev-database.org/car/2269/alpine-a290-electric-220-hp
audi,a6 avant e-tron,210,75.8,lithium-ion,150.0,435.0,146,465,6.0,150.0,ccs,2100.0,502,5,rwd,je - executive,4928,1923,1455,station/estate,https://ev-database.org/car/3055/audi-a6-avant-e-tron
audi,a6 avant e-tron performance,210,94.9,lithium-ion,180.0,565.0,151,575,5.4,200.0,ccs,2100.0,502,5,rwd,je - executive,4928,1923,1455,station/estate,https://ev-database.org/car/2272/audi-a6-avant-e-tron-performance
