iter	Passed	Remaining
0	45	225245
1	77	192577
2	117	196308
3	154	192994
4	194	194227
5	221	184747
6	259	185367
7	298	186439
8	321	178427
9	358	179099
10	397	180458
11	434	180757
12	472	181275
13	511	182225
14	550	182860
15	589	183640
16	624	183138
17	667	184650
18	710	186197
19	749	186583
20	786	186531
21	825	186860
22	860	186203
23	897	186153
24	929	184956
25	953	182439
26	988	181979
27	1025	182087
28	1058	181434
29	1076	178418
30	1092	175137
31	1127	175070
32	1164	175273
33	1201	175502
34	1230	174615
35	1261	173949
36	1271	170542
37	1283	167560
38	1317	167559
39	1353	167796
40	1388	167988
41	1422	167979
42	1461	168488
43	1494	168374
44	1532	168774
45	1552	167219
46	1590	167580
47	1626	167828
48	1652	166952
49	1688	167129
50	1705	165491
51	1743	165882
52	1777	165908
53	1805	165324
54	1839	165364
55	1876	165641
56	1913	165942
57	1949	166134
58	1987	166486
59	2024	166653
60	2068	167489
61	2108	167955
62	2147	168257
63	2181	168284
64	2221	168666
65	2256	168707
66	2293	168899
67	2331	169092
68	2366	169116
69	2403	169268
70	2438	169290
71	2465	168736
72	2500	168746
73	2534	168685
74	2571	168892
75	2605	168827
76	2642	168917
77	2678	168996
78	2712	168954
79	2749	169111
80	2771	168289
81	2805	168251
82	2824	167345
83	2860	167406
84	2896	167482
85	2931	167531
86	2968	167661
87	3005	167747
88	3033	167367
89	3067	167375
90	3106	167571
91	3141	167583
92	3177	167657
93	3211	167618
94	3248	167716
95	3281	167649
96	3321	167893
97	3355	167836
98	3392	167940
99	3428	168003
100	3464	168024
101	3499	168029
102	3536	168116
103	3571	168125
104	3606	168143
105	3642	168179
106	3679	168258
107	3715	168318
108	3731	167438
109	3768	167537
110	3801	167442
111	3838	167543
112	3872	167472
113	3908	167531
114	3944	167571
115	3978	167494
116	4014	167540
117	4051	167627
118	4086	167620
119	4123	167701
120	4160	167754
121	4194	167707
122	4232	167829
123	4266	167774
124	4304	167869
125	4339	167869
126	4375	167880
127	4411	167912
128	4447	167953
129	4482	167907
130	4518	167949
131	4559	168130
132	4601	168371
133	4637	168409
134	4671	168361
135	4710	168480
136	4746	168474
137	4781	168470
138	4816	168439
139	4852	168444
140	4886	168405
141	4923	168431
142	4959	168434
143	4995	168473
144	5030	168426
145	5066	168441
146	5102	168438
147	5134	168337
148	5169	168306
149	5205	168305
150	5241	168322
151	5275	168272
152	5312	168285
153	5348	168309
154	5382	168240
155	5421	168335
156	5457	168360
157	5491	168281
158	5527	168292
159	5563	168282
160	5597	168250
161	5633	168226
162	5666	168160
163	5704	168201
164	5741	168253
165	5777	168231
166	5809	168140
167	5846	168152
168	5882	168145
169	5916	168098
170	5950	168039
171	5986	168032
172	6020	167981
173	6055	167942
174	6092	167969
175	6127	167948
176	6163	167951
177	6198	167922
178	6235	167940
179	6269	167885
180	6306	167895
181	6341	167864
182	6374	167790
183	6412	167843
184	6448	167835
185	6482	167776
186	6518	167766
187	6553	167747
188	6587	167679
189	6623	167691
190	6660	167693
191	6686	167432
192	6720	167390
193	6758	167429
194	6794	167426
195	6831	167447
196	6868	167456
197	6904	167444
198	6942	167485
199	6979	167505
200	7016	167517
201	7051	167484
202	7092	167603
203	7129	167620
204	7165	167611
205	7201	167583
206	7240	167647
207	7276	167646
208	7300	167343
209	7336	167336
210	7372	167324
211	7405	167255
212	7444	167300
213	7478	167249
214	7513	167220
215	7549	167209
216	7583	167161
217	7619	167143
218	7653	167081
219	7689	167063
220	7725	167052
221	7760	167034
222	7796	167020
223	7830	166950
224	7869	167010
225	7905	166998
226	7940	166949
227	7979	167000
228	8013	166947
229	8050	166958
230	8085	166930
231	8120	166894
232	8156	166882
233	8190	166823
234	8227	166820
235	8264	166838
236	8299	166793
237	8333	166745
238	8371	166772
239	8406	166725
240	8444	166748
241	8478	166690
242	8515	166695
243	8551	166692
244	8585	166630
245	8622	166628
246	8656	166576
247	8694	166592
248	8727	166523
249	8764	166518
250	8797	166452
251	8834	166453
252	8870	166429
253	8906	166409
254	8939	166342
255	8975	166336
256	9011	166313
257	9045	166263
258	9084	166283
259	9120	166268
260	9154	166210
261	9190	166199
262	9219	166059
263	9256	166060
264	9292	166039
265	9331	166078
266	9367	166053
267	9403	166036
268	9439	166024
269	9476	166009
270	9510	165957
271	9552	166036
272	9589	166041
273	9628	166074
274	9662	166024
275	9699	166009
276	9736	166009
277	9771	165976
278	9807	165951
279	9841	165897
280	9879	165904
281	9914	165880
282	9949	165833
283	9985	165812
284	10019	165756
285	10056	165753
286	10092	165730
287	10126	165684
288	10163	165672
289	10196	165599
290	10234	165608
291	10269	165576
292	10303	165521
293	10340	165512
294	10376	165493
295	10409	165433
296	10446	165423
297	10479	165357
298	10516	165348
299	10551	165300
300	10588	165304
301	10621	165236
302	10659	165242
303	10693	165180
304	10730	165178
305	10766	165158
306	10804	165167
307	10842	165171
308	10881	165188
309	10919	165208
310	10960	165256
311	11000	165296
312	11037	165274
313	11077	165319
314	11140	165697
315	11187	165828
316	11227	165855
317	11270	165936
318	11312	166004
319	11356	166089
320	11401	166186
321	11440	166214
322	11484	166295
323	11527	166362
324	11565	166359
325	11608	166433
326	11648	166467
327	11690	166520
328	11734	166602
329	11775	166644
330	11819	166728
331	11861	166780
332	11903	166828
333	11945	166882
334	11991	166987
335	12032	167023
336	12078	167129
337	12120	167174
338	12166	167280
339	12219	167481
340	12269	167628
341	12310	167669
342	12355	167750
343	12399	167824
344	12442	167878
345	12485	167941
346	12524	167938
347	12567	167996
348	12610	168049
349	12651	168081
350	12690	168089
351	12732	168132
352	12773	168156
353	12818	168231
354	12859	168260
355	12900	168284
356	12938	168273
357	12981	168324
358	13021	168333
359	13063	168373
360	13104	168401
361	13140	168364
362	13181	168385
363	13224	168427
364	13262	168412
365	13305	168463
366	13344	168458
367	13386	168498
368	13428	168527
369	13470	168559
370	13510	168566
371	13552	168603
372	13593	168619
373	13633	168635
374	13675	168670
375	13717	168693
376	13756	168692
377	13799	168730
378	13840	168750
379	13879	168750
380	13922	168793
381	13963	168804
382	14007	168853
383	14045	168842
384	14089	168891
385	14129	168892
386	14171	168927
387	14213	168953
388	14254	168969
389	14294	168968
390	14337	169011
391	14380	169039
392	14425	169100
393	14467	169132
394	14497	169019
395	14537	169016
396	14567	168904
397	14609	168930
398	14650	168941
399	14697	169023
400	14748	169150
401	14801	169300
402	14870	169627
403	14929	169839
404	14976	169920
405	15026	170028
406	15067	170040
407	15113	170100
408	15158	170150
409	15201	170182
410	15245	170225
411	15287	170237
412	15332	170291
413	15375	170317
414	15418	170347
415	15457	170333
416	15501	170362
417	15541	170366
418	15581	170353
419	15624	170384
420	15664	170378
421	15709	170419
422	15750	170424
423	15790	170417
424	15832	170437
425	15871	170416
426	15914	170440
427	15955	170444
428	15995	170430
429	16037	170442
430	16079	170454
431	16117	170428
432	16159	170444
433	16200	170442
434	16237	170403
435	16280	170418
436	16320	170414
437	16361	170412
438	16400	170392
439	16442	170402
440	16482	170397
441	16520	170363
442	16563	170380
443	16604	170380
444	16644	170371
445	16685	170370
446	16725	170357
447	16767	170372
448	16804	170330
449	16846	170340
450	16887	170330
451	16931	170359
452	16971	170356
453	17012	170350
454	17059	170409
455	17099	170396
456	17144	170429
457	17183	170411
458	17227	170438
459	17269	170439
460	17311	170448
461	17351	170436
462	17396	170470
463	17444	170535
464	17493	170612
465	17544	170704
466	17585	170698
467	17631	170735
468	17675	170758
469	17715	170748
470	17760	170781
471	17801	170777
472	17845	170799
473	17888	170806
474	17927	170784
475	17971	170800
476	18012	170797
477	18050	170766
478	18094	170786
479	18128	170708
480	18167	170688
481	18206	170658
482	18250	170674
483	18290	170663
484	18332	170665
485	18373	170658
486	18414	170645
487	18456	170649
488	18496	170631
489	18539	170639
490	18577	170606
491	18623	170637
492	18665	170636
493	18703	170604
494	18749	170636
495	18790	170626
496	18830	170612
497	18845	170366
498	18884	170342
499	18927	170343
500	18969	170343
501	19010	170340
502	19051	170326
503	19092	170312
504	19132	170295
505	19174	170292
506	19218	170312
507	19260	170309
508	19298	170277
509	19341	170279
510	19384	170284
511	19425	170277
512	19464	170247
513	19507	170251
514	19545	170213
515	19587	170218
516	19628	170203
517	19671	170210
518	19716	170229
519	19748	170144
520	19793	170162
521	19834	170151
522	19880	170183
523	19923	170186
524	19966	170194
525	20008	170186
526	20051	170191
527	20104	170277
528	20161	170399
529	20208	170436
530	20248	170414
531	20295	170448
532	20334	170422
533	20380	170449
534	20423	170454
535	20465	170442
536	20510	170461
537	20548	170426
538	20595	170461
539	20635	170436
540	20679	170446
541	20718	170410
542	20735	170195
543	20773	170158
544	20814	170144
545	20854	170116
546	20896	170115
547	20936	170087
548	20976	170065
549	20991	169837
550	21030	169812
551	21070	169788
552	21099	169676
553	21134	169607
554	21176	169601
555	21213	169556
556	21258	169572
557	21299	169554
558	21337	169517
559	21381	169524
560	21418	169480
561	21462	169484
562	21503	169467
563	21543	169444
564	21585	169435
565	21624	169405
566	21667	169406
567	21705	169367
568	21749	169372
569	21790	169357
570	21829	169318
571	21872	169321
572	21913	169306
573	21954	169289
574	21994	169261
575	22038	169266
576	22077	169234
577	22121	169237
578	22160	169207
579	22217	169314
580	22258	169297
581	22301	169294
582	22345	169297
583	22388	169291
584	22429	169272
585	22473	169279
586	22514	169261
587	22559	169271
588	22598	169242
589	22644	169256
590	22688	169261
591	22734	169280
592	22773	169247
593	22804	169151
594	22847	169145
595	22886	169114
596	22932	169134
597	22971	169096
598	23016	169109
599	23058	169095
600	23101	169092
601	23144	169088
602	23158	168871
603	23183	168732
604	23225	168724
605	23267	168711
606	23308	168692
607	23353	168699
608	23394	168678
609	23439	168685
610	23479	168658
611	23523	168659
612	23562	168627
613	23604	168614
614	23644	168588
615	23686	168575
616	23725	168537
617	23767	168527
618	23806	168490
619	23849	168486
620	23890	168465
621	23930	168436
622	23973	168431
623	24013	168401
624	24056	168397
625	24096	168365
626	24138	168351
627	24179	168329
628	24222	168326
629	24266	168322
630	24304	168284
631	24348	168281
632	24386	168240
633	24430	168235
634	24468	168196
635	24512	168194
636	24552	168169
637	24590	168124
638	24634	168122
639	24672	168084
640	24698	167959
641	24739	167938
642	24778	167902
643	24822	167900
644	24863	167875
645	24906	167866
646	24950	167866
647	24994	167863
648	25034	167836
649	25079	167838
650	25121	167826
651	25165	167819
652	25210	167825
653	25251	167804
654	25299	167825
655	25340	167804
656	25396	167881
657	25445	167909
658	25486	167883
659	25541	167952
660	25583	167936
661	25631	167961
662	25672	167938
663	25720	167960
664	25763	167944
665	25805	167929
666	25846	167905
667	25891	167905
668	25934	167892
669	25973	167859
670	26018	167858
671	26056	167816
672	26100	167810
673	26139	167774
674	26182	167759
675	26224	167745
676	26263	167709
677	26306	167696
678	26345	167654
679	26387	167638
680	26427	167607
681	26469	167588
682	26508	167550
683	26553	167553
684	26591	167507
685	26634	167493
686	26676	167473
687	26715	167437
688	26759	167433
689	26800	167406
690	26841	167377
691	26884	167367
692	26924	167338
693	26965	167313
694	27005	167279
695	27049	167273
696	27088	167235
697	27132	167225
698	27171	167186
699	27214	167176
700	27254	167140
701	27297	167128
702	27334	167081
703	27378	167069
704	27419	167043
705	27457	167002
706	27503	167003
707	27541	166958
708	27585	166950
709	27624	166916
710	27668	166908
711	27712	166899
712	27752	166866
713	27795	166851
714	27839	166844
715	27880	166815
716	27926	166816
717	27967	166790
718	28017	166820
719	28066	166840
720	28112	166841
721	28153	166814
722	28199	166817
723	28238	166778
724	28280	166759
725	28321	166730
726	28364	166713
727	28406	166690
728	28446	166661
729	28488	166638
730	28528	166602
731	28567	166568
732	28609	166542
733	28650	166517
734	28689	166475
735	28731	166457
736	28773	166431
737	28813	166397
738	28852	166362
739	28894	166338
740	28933	166300
741	28977	166289
742	29019	166264
743	29061	166243
744	29102	166217
745	29143	166188
746	29186	166171
747	29226	166138
748	29267	166109
749	29308	166079
750	29348	166049
751	29388	166014
752	29430	165988
753	29469	165951
754	29510	165925
755	29549	165881
756	29590	165857
757	29633	165839
758	29672	165797
759	29715	165783
760	29756	165753
761	29798	165731
762	29842	165719
763	29924	165914
764	29973	165933
765	30019	165931
766	30070	165953
767	30113	165936
768	30163	165955
769	30216	165993
770	30261	165987
771	30280	165835
772	30324	165825
773	30369	165815
774	30410	165783
775	30457	165791
776	30503	165784
777	30552	165802
778	30596	165789
779	30669	165929
780	30726	165988
781	30776	166005
782	30822	165999
783	30873	166024
784	30901	165921
785	30945	165909
786	30993	165916
787	31042	165930
788	31088	165921
789	31137	165933
790	31180	165914
791	31227	165917
792	31273	165912
793	31319	165904
794	31360	165872
795	31408	165882
796	31450	165856
797	31497	165856
798	31538	165823
799	31585	165824
800	31627	165795
801	31667	165762
802	31710	165738
803	31754	165722
804	31796	165699
805	31847	165716
806	31910	165799
807	31957	165797
808	32003	165793
809	32045	165764
810	32091	165762
811	32142	165781
812	32186	165763
813	32229	165740
814	32272	165717
815	32312	165679
816	32356	165662
817	32397	165630
818	32440	165608
819	32453	165434
820	32495	165405
821	32535	165371
822	32577	165343
823	32618	165309
824	32658	165273
825	32706	165273
826	32754	165278
827	32771	165125
828	32812	165089
829	32845	165017
830	32891	165009
831	32935	164992
832	32977	164967
833	33024	164962
834	33064	164927
835	33110	164917
836	33128	164771
837	33175	164769
838	33219	164751
839	33265	164745
840	33317	164766
841	33377	164827
842	33395	164678
843	33438	164655
844	33454	164503
845	33499	164486
846	33547	164488
847	33589	164464
848	33638	164466
849	33688	164478
850	33726	164433
851	33762	164374
852	33806	164354
853	33848	164325
854	33894	164321
855	33911	164168
856	33952	164137
857	33995	164111
858	34039	164094
859	34082	164071
860	34127	164059
861	34170	164035
862	34212	164003
863	34256	163984
864	34269	163818
865	34314	163805
866	34355	163775
867	34399	163751
868	34440	163721
869	34487	163715
870	34528	163683
871	34574	163675
872	34617	163651
873	34659	163621
874	34674	163465
875	34687	163300
876	34730	163275
877	34769	163232
878	34813	163213
879	34850	163165
880	34892	163135
881	34933	163100
882	34977	163081
883	35016	163039
884	35059	163015
885	35098	162972
886	35142	162955
887	35181	162912
888	35224	162888
889	35263	162845
890	35306	162823
891	35351	162808
892	35392	162772
893	35436	162754
894	35475	162713
895	35509	162645
896	35564	162677
897	35683	163001
898	35772	163182
899	35850	163317
900	35947	163539
901	36037	163728
902	36125	163903
903	36196	164005
904	36336	164417
905	36464	164775
906	36744	165817
907	36985	166679
908	37110	167018
909	37230	167333
910	37313	167479
911	37385	167577
912	37438	167591
913	37499	167640
914	37558	167681
915	37615	167707
916	37666	167714
917	37719	167723
918	37766	167707
919	37818	167715
920	37873	167737
921	37929	167760
922	37992	167817
923	38048	167843
924	38103	167860
925	38161	167893
926	38211	167892
927	38262	167894
928	38312	167891
929	38362	167887
930	38413	167887
931	38462	167883
932	38508	167859
933	38563	167878
934	38619	167901
935	38687	167976
936	38746	168013
937	38809	168063
938	38873	168120
939	38926	168127
940	38990	168187
941	39044	168197
942	39101	168221
943	39150	168216
944	39199	168204
945	39251	168207
946	39305	168219
947	39360	168236
948	39413	168243
949	39468	168260
950	39526	168290
951	39590	168342
952	39649	168374
953	39715	168438
954	39776	168479
955	39834	168505
956	39886	168508
957	39968	168637
958	40016	168619
959	40066	168613
960	40119	168617
961	40181	168663
962	40242	168701
963	40323	168824
964	40383	168859
965	40450	168921
966	40510	168953
967	40566	168971
968	40615	168960
969	40673	168984
970	40721	168967
971	40790	169038
972	40842	169037
973	40956	169291
974	41007	169285
975	41055	169269
976	41103	169251
977	41145	169211
978	41192	169186
979	41236	169153
980	41277	169105
981	41328	169103
982	41373	169071
983	41428	169082
984	41472	169049
985	41514	169007
986	41563	168989
987	41612	168976
988	41660	168958
989	41709	168944
990	41754	168915
991	41799	168884
992	41845	168855
993	41902	168876
994	41956	168880
995	42009	168882
996	42096	169017
997	42160	169062
998	42215	169074
999	42267	169069
1000	42319	169067
1001	42377	169086
1002	42439	169124
1003	42490	169113
1004	42538	169096
1005	42595	169111
1006	42629	169035
1007	42684	169044
1008	42736	169039
1009	42809	169119
1010	42871	169151
1011	42931	169180
1012	42982	169172
1013	43036	169173
1014	43093	169188
1015	43146	169187
1016	43205	169209
1017	43251	169181
1018	43304	169182
1019	43357	169180
1020	43411	169180
1021	43459	169158
1022	43509	169147
1023	43554	169114
1024	43603	169096
1025	43652	169078
1026	43708	169086
1027	43758	169073
1028	43806	169054
1029	43848	169009
1030	43894	168978
1031	43936	168934
1032	43984	168913
1033	44029	168878
1034	44079	168864
1035	44123	168828
1036	44177	168829
1037	44221	168792
1038	44266	168759
1039	44311	168724
1040	44361	168710
1041	44415	168711
1042	44472	168723
1043	44532	168746
1044	44582	168730
1045	44600	168593
1046	44650	168581
1047	44715	168620
1048	44792	168707
1049	44850	168724
1050	44904	168722
1051	44958	168723
1052	45031	168792
1053	45093	168821
1054	45168	168898
1055	45235	168949
1056	45307	169014
1057	45375	169066
1058	45456	169164
1059	45532	169244
1060	45589	169254
1061	45657	169302
1062	45722	169339
